,starter,riddle,class
597,weather,I never sleep yet sometimes I weep. I can get  angry or just be happy. Wherever you go I will follow. No matter what you do I will be there. I can not die. What am I?,what am i
804,Aloha,Island hello. What am I?,what am i
2953,your phone number,It belongs to you but you don't use it.   It does not belong to other people but they use it.   What is it?,what is it
3676,bacteria,"I am everywhere, I can be a friend or a deadly foe, I love to fight, I can go easy or kill you as easy as please, I can never be beaten for long and all have fought me before, I will get you eventually and when I do I will win, I am always, I will out live mountains and seas and mankind and i am all ways there, what am i",what am i
2052,fish,"Slippery, wet and greasy, when its in its easy, when it out it jumps about, slippery wet and greasy. What am I?",what am i
3381,not   noto lbs  ton100lbs,One side is heavy one side is not. What am I?   Want a hint: One side is not,what am i
4507,A pineapple.,"The leaves are on the fruit, The fruits is on the leaves.What is it?",what is it
858,light bulb,You can hold me in your hand and yet I can fill the entire room. What am I?,what am i
1309,blood,"I am a vessel and a stone, When I am hot my temper is known, I have my own money as well as a bank, If I take a bath the devil you can thank, I have no mercy when I am cold, If I am bad ill will shall unfold, I can be thirsty and have shot many eyes, In the dead of night as the curdling hound cries. What am I?",what am i
1334,Luigi,"I am green, I am famous. 2013 is my 20th anniversary. I travel through sewage with my only other relative. Who am I?",who am i
1562,ocean,"I am a shimmering field that reaches far, but I have no tracks, and I am crossed without paths. What am I?",what am i
4290,Twins.,"We both come together,But one comes first.What am I?",what am i
1623,fortune cookie,My first may be accumulated or spent.My second crumbles after disappointment.My whole is broken so a note that was sent.May be able to reach its recipient. What am I?,what am i
1801,spoon,"No assembly required, and I feature my own bowl.With a stick I'm equipped, giving manual control. My handheld companions have their own jobs to perform.Each one of them with its own function and distinct form. In addition to serving my usual functions.I've been known to play a part in musical junctions. When the day has reached its end, and waking hours are through.I form a loving posture with the closeness of two. What am I?",what am i
3811,bush,"Hide and seek is your game, I watch you play behind me hiding from thoughs who seek you, knowing that pretty soon you will change day by day and won't need me anymore. What am I?",what am i
2018,dream,"I am hopes and wishes and wants. I am fears and tears and taunts. I live as a portal.To subconscious minds. Oh, the wonders will be your finds. I may visit in the form of Queen Mab.As told in a story so fab.By Shakespeare himself. What am I?",what am i
313,vampire,"I come out at night, I am nor human nor animal, I rarely eat I only drink, I can only be found at night, I will glow in sunlight. What am I?",what am i
654,waterfall,"My first is in willow, but not in oily. My second is in cascade, but not in crescendo. My third is in thunder, but not in hundreds. My fourth is in energy, but not in gypsy. My fifth is in rapid, but not in vapid. My sixth is in flowing, but not in growling. My seventh is in fast, but not in fist. My eighth is in loud, but not in sound. My ninth is in ledge, but not in hedge. What am I?",what am i
4314,A beehive.,"Golden treasures I contain, guarded by hundreds and thousands. Stored in a labyrinth where no man walks, yet men come often to seize my gold. By smoke, I am overcome and robbed, then left to build my treasure anew.What am I?",what am i
69,soda,When it's gone bad and flat I hate it but when it's fresh and fizzy I love to taste it. what am i talking about?,what am i
3193,cutesmalland great pokemon,"Whatam I????I am small, a cute one, and a great one. what am i??",what am i
1010,button,"I__ as flat as a leaf and round as a ring. I have two eyes, but I can__ see a thing. What am I?",what am i
385,thoughts,"I belong to everyone. Sometimes make you happy, sometimes make you sad. I will never end until the day you do. What am I?",what am i
11,heart,"I can flutter and take your breath away. I can take a beating, but do not bruise. If I stopped you would be sure to lose. Everyday I am with you. What am I?",what am i
3724,flashlight,When its dark i can see when its light i am a sleep. What am I?,what am i
1123,dartboard,"Sharp projectiles at me fly.To try and pierce my dark red eye, And while my number skills are fine, I place twelve between five and nine. What am I?",what am i
4548,A promise,What is it that you ought to keep after you have given it to someone else?,what is it
831,egg,"A box without hinges, lock or key, yet golden treasure lies within. Who am I?",who am i
153,dragon,Theres one that is called Smaug. Who in The Hobbit guarded gold. The fire that he breathed. Means that you would never be cold. What is it?,what is it
1080,mine,Minerals are found in me. And I am found in minerals too. What am I?,what am i
3412,river stream or nose,I can run but zI can't walk.  What am I?,what am i
3940,The word Dozens.,I am six letters. When you take one away I am twelve. What am I?,what am i
2155,snow globe,I am a contained world that you can shake but please don't drop me because I may break. What am I ?,what am i
205,imagination,"I come and go wherever you are in the world. I ebb and flow with colors and sound for which anyone can hear. I come and go with each person here, yet I am unique to everyone. I can grow with one, yet die with another. I age with the person I am with and live in the treetops in everybody. What am I?",what am i
785,snowman,"I am a man without bones, without blood, without life. My flesh is white, cold and shrinking. What am I?",what am i
2073,hair,"I move very slowly at an imperceptible rate, although I take my time, I am never late. I accompany life, and survive past demise, I am viewed with esteem in many women's eyes. What am I?",what am i
2374,teeth,"Lose me once I'll come back stronger, lose me twice I'll leave forever, what am I?",what am i
2538,river,"I always run but never walk, Have a mouth but never talk. What am I?",what am i
943,finger,"I can point in every direction, but I can__ reach the destination by myself. What am I?",what am i
3794,bridge,"Man walks over, man walks under, in times of war he burns asunder.  What is it?",what is it
