Words,BFSConcepts,GoldRiddle,GenRiddle
breath,"['air', 'bodily process']",It weighs next to nothing but no one can hold it for long.   What is it?,"

As light as a feather, yet strong as steel,
I am essential for life, yet often concealed.
Invisible and intangible, but oh so real,
I am the essence of air, the force you can feel.

A vital bodily process, but often ignored,
Without me, existence would be quite a chore.
I am a gas that keeps you alive,
Without me, you would surely not survive.

My absence brings panic and fear,
But deep breaths of me can calm and clear.
I am oxygen, the elixir of life,
With every inhale, I end your strife.

What am I, this precious"
Hyphen,[],"My first is high, My second damp, My whole a tie, A writer's cramp. What am I?","

I am a mark, connecting two words,
Sometimes I'm used when hyphenated verbs are heard,
Splitting them up, making them clear,
Without me, sentences might look quite queer. "
camera,"['a flash', 'photographic equipment', 'take pictures', 'television camera']",A device that nearly everyone has that can freeze anyone it sees what is it?,"

I am an object used to take pictures
Capturing memories, I am a fixture
With a click and a flash
I capture the past
On a screen or in print
I am the camera, a wondrous hint"
boloon,[],what can you through it off a clif and it wont pop. when you use a forek it pops. what am i??????,"

I can be round or I can be long,
I can float in the air, or sway along,
Kids love to play with me at the park,
But don't pop me, that would leave a mark.
What am I?"
courage,[],"I am born in fear, raised in truth,   and I come to my own in deed.    When comes a time that I'm called forth,   I come to serve the cause of need.   What am I?","

I am the strength to face your fears,
Without me, you may shed some tears.
I am the bravery in your heart,
To overcome challenges and never depart.
What am I? "
alphabet,"['a series of letters', 'alfabet', 'character set', 'the alphabet']","I have an eye but am blind, a sea, but no water; a bee, but no honey; Tea but no coffee; and a why, but no answer. What am I?","

I am a series of letters, a classic tool,
Without me, words would just be a pool.
From A to Z, I cover the whole set,
And without my order, things could get quite upset."
sharpener,"['implement', 'enforce']","I eat as you turn me,  my blade cutting wood,   when I am full,  empty me you should.     What am I?","

I am small and cylindrical, yet I hold great power
My job is to sharpen things, hour after hour
I have a blade, but I am not a knife
I am a tool that brings dullness to life
What am I? "
tissue,[],"Round and round, in circles I go.How it diminishes me so. For starters, I am looking great.But subject to the hand of fate. My purity has been defiled.Sent on a journey, wet and wild. Once I've been used up to the core.My twin starts the cycle once more. What am I?","

I'm soft and thin, but can also be strong
I'm used to wipe, but I don't belong
I come in a pack, but can be bought in bulk
Without me around, life would be quite a sulk
What am I? A necessity for your nose
The answer is simple, I am _________. 
"
butterfly,"['a butterfly', 'an insect', 'cooking', 'lepidopterous insect', 'leptir']","I have 16 legs then, I sleep for about a fortnight and a merge with 6 legs. What am I?","

I am an insect, small and light
The sky is my kingdom, I take flight
With wings so delicate, I flutter by
Transforming from caterpillar, I soar high

My name begins with B, but I am not a bee
My colors are vibrant, for all to see
A lepidopterous insect, I am called
But my beauty is what truly enthralls

What am I, so graceful and spry?
I am a creature, with wings that amplify
My life is short, but I reign supreme
I am a butterfly, a wonder to be seen."
chalk,['writing'],Used on a diamond and left on a board. It's great for a gymnast his grip to restore. What is it?,"

I am used for writing
But I am not a pen or a brush
I can leave my mark on paper
But I am not a pencil or a crayon

I am a tool for communication
As my words can be seen from afar
But I am not a phone or a screen
I am simply a stick of... what?

You can find me in classrooms
Along with rulers and textbooks
I am often white or colored
But I am not a marker or highlighter

My letters can be erased
But I am not a rubber or an eraser
I am used for creating words
And my name"
tongue,"['clapper', 'bell']","I am boneless, small, and weak, yet can crush and kill; the speed of what comes out of me outstrips the steed. My great storehouse is your heart. Keep me to keep your soul from troubles. What am I?","

I wiggle and move, but never leave your mouth
Covered with taste buds, I help you taste food's south
I am strong yet flexible, and always on the run
Without me, tasting your food wouldn't be fun
What am I, found in your mouth?
A slippery muscle, called your tongue, from north to south"
finger,['appendage'],"I am tall sometimes im short, wide sometimes thin and i acompany three others.  what am I?","

You'll use me when you write,
Or when you want to give a little bite.
I'm a part of your hand,
But just one, not all the band.
When you're typing, I'm the key,
Without me, it's hard to see.
What am I, can you linger?
I'm just one, your trusty finger."
pacman,[],"I spend most of my day eating white.  When I am quick enough, I get rewarded with fruit and somethings blue.  In a dark room with blue walls, I run from the ghost that roam the halls.  What am I?","

I dart around the screen,
Gobbling up little dots,
But watch out for the ghosts,
Or I'll be caught on the spot! 
What game am I?"
menorah,"['Judaism', 'Menorah', 'a synagogue', 'candelabrum']",I am a special candle holder for Hanukkah. I have eight candles and one special candle called a shamash that lights all the other candles. I represent the miracle of the oil lasting for 8 days. What am I?,"

I am a symbol of light in the Jewish faith,
A candelabrum with branches that never wane.
Often found inside a synagogue,
In honor of the holiday of Hanukkah, I reign.

Nine branches I possess, seven lit up with fire,
Representing miracles and dedication to aspire.
Used during rituals, I lead the way,
For the Jewish community to celebrate and pray.

What am I, shining bright and tall,
A Menorah, the emblem of Judaism to all."
graveyard,"['camposanto', 'burial', 'cemetery', 'place', 'cimitero']","In this place, people lie, people cry, and people ask why. In this place, people sleep, people weep, and people's solitude, they keep. What is it?","

I am home to the deceased,
A place where the living least,
A peaceful rest for those who lay,
Where loved ones come to mourn and pray.
In kapi or mezarje, I am known,
A solemn place, not for a throne.
Within the cemetery's gates,
I hold the secrets of forgotten fates.
What am I, this sacred yard?
A place known as the graveyard."
basketball,"['a fast and physically demanding sport', 'a popular sport', 'a subset of sports', 'filled with air', 'round']","I am not wet, yet dribbling I can be. Pimples I have, yet happily people touch me, I do not have legs yet I still find a way to get up in the air, When I hear a buzz, I am ignored till I hear another.  What am I?","

I am round and filled with air,
A fast-paced game, I'll make you swear.
A subset of sports, you'll see,
A physically demanding activity.

Dribble, pass, and shoot with care,
In this game, you need to be aware.
Jump and run, and defend with grace,
In this sport, you must keep up the pace.

What am I, can you guess?
A game, a sport, you'll surely impress.
With a name that says it all,
I am the one and only basketball."
diamond,"['a precious stone', 'baseball diamond', 'cutting', 'cold']","I may be hard, I may be rough,Bound in the round to claim a love.What am I?","

I am a precious stone, admired by all
My sparkle and shine, never does fall
With expert cutting, I am shaped so fine
In grandeur and beauty, I always outshine

A symbol of love, I often adorn
A ring for your finger, to which I am sworn
Brimming with value, I am highly sought
In luxurious settings, I am often caught

An integral part, of love and desire
On a bride's hand, I make hearts aspire
Though found in the rough, I am a gem
With fire and brilliance, I am a true emblem "
skin,"['a body', 'covering the body', 'protecting the body']","When liquid splashes me, none seeps through. When I am moved alot, liquid I spew. When I am hit, color I change. And color, I come in quite a range. What I cover is very complex, and I am very easy to flex. What am I?","

I am a layer that covers your body
My job is to protect you, aren't I a smarty?
Without me, you'd feel raw and exposed
But don't take me for granted, for I can be discomposed."
