starters,generated_riddles,reference_riddles
diploma,I am a word that is used to describe sex. I can be used for restraining or completing emulation. What am I?,"I am a piece of paper that takes most people 3 or 4 years to get. What am I?'
"
kite,"I am a bird that is able to fly. I can fly but cannot fly, I have no legs. What am I?","I love to dance and twist and prance, I shake my tail, as away I sail, wingless I fly into the sky. What am I?'
"
lightning,"I am a light that can be seen, but I can't be heard. What am I?","My tines be long, my tines be short. My tines end ere, my first report. What am I?""
"
1 1/2.,"I am a word that is pronounced ""s"" and ""t"". I can be spelled ""to"" or ""a"" in the middle. I have ten letters in it, and I\'m numbered ""To"". What am I?","A half is a third of it. What is it?'
"
windmill,"I am a sand castle, I have ten legs, and I'm surrounded by trees. What am I?","I have four wings, but cannot fly, I never laugh and never cry; On the same spot I'm always found, toiling away with little sound. What am I?""
"
Time.,"I am a thing that can be measured, but I can't be used. I'm not able to be seen, yet I have ten. What am I?","Some people see me to be linear, to others I'm not. I'm always marching forward and can never stop. I watch you in your days until we have to part ways. What am I ?""
"
shoes,I am a type of shoes. I can be worn in sand or on ice. What am I?,"I walk with you almost every day, yet you never notice me. You step on me, but you never say sorry. What am I?'
"
tea bag,I am a bag that is filled with water. I can be filled in ice. What am I?,"I go in dry and come out wet, The longer I\xe2\x80\x99m in, the stronger I get. What am I?'
"
refrigerator,I have a door but no door. I can be used to store food. What am I?,"I keep food cold so it doesn't grow mold. What am I?""
"
future,"I am the future, but I'm not the present. I can be a new one, or if you're not, I will be the one you want to see. What am I?","I am all ways in front of you but can never be seen think of tomorrow and you'll know what I mean what am i?""
"
Cheerios,"I am a solitary creature. I have ten legs, but I\'m not able to walk. What am I?","Maybe you eat me, perhaps you don\'t. Leave me alone too long and I\'ll get soggy, but either way I still float. The beginning of my name is the same word for happy; the rest comes before the letter ""p"".  What am I?'
"
"I am a "" post office "" because thousands of letters are found in the post office.","I am a place where thousands of letters are found. I have tens of thousands, but I\'m not able to find them. What am I?","I am two words with thousands of letters in me. What am I?'
"
balloon,I am a fluttering slender object. I can be thrown or tossed. What am I?,"I get pumped up with air                I am can float              If you give to much air i bust                   What am I?'
"
spectacle,"I am a thing that you can see, but you cannot see me. What am I?","I spread open my legs, slide the face between them, and put my bridge on the face's nose. What am I?""
"
bookworm,"I am a worm that is spelled out in tin. I can be found in the ocean, in caves, and in mountains. What am I?","Though learning has fed me, I know not a letter\xcd\xbe I live among the books, Yet am never the better. What am I?'
"
teddy bear,I am a bear that is shaped like teddy bear. What am I?,"Lifeless eyes on my smiling face and watch your child's sleeping place. In their dreams they hold me tight. Who am I?""
"
breath,"I am a thing that can be used to make screams. I can make you laugh, but I cannot make people laugh. What am I?","I am free for the taking. Through all of your life, though given but once at birth. I am less than nothing in weight, but will fell the strongest of you if held. What am I?'
"
pupil of an eye,"I am a pupil of ten. I can be seen in tense, but I cannot see. What am I?","Different lights do make me strange, thus into different sizes I will change.   What am I?'
"
haiku,I am a word that is used in ketchup. I can be used to make kepsi. What am I?,"I'm five in the start, I'm seven in the middle, And I'm five to end. What am I?""
"
I'm a traffic light! If you cross a red-light you will get in trouble!,"I'm a red light, but I can't cross if you cross. What am I?","I have three eyes and one leg. If you disobey me, you will surely be punished. What am I?""
"
railing,"I am a piece of wood. I can be made of metal or wood, I have curved lines. What am I?","i go up and down the stairs what am i'
"
beaver,I am a bird that is able to fly. I can be spelled out as if it was thrown. What am I?,"I am a busy worker who is a water mammal. What am I?'
"
coffee,I am a drink that is made of water. I can be brewed with ice. What am I?,"A necessity to some, a treasure to many, I'm best enjoyed among pleasant company. Some like me hot, some like me cold. Some prefer mild, some like me bold. What am I?""
"
trampoline,I am a type of animal that can be ridden by tyres. What am I?,"I am a toy and can be any color. I make you and your friends jump up and down. Everyone stand on me and bounce! What am I?'
"
table,I have a head but no legs. I am surrounded by sand but not by water. What am I?,"I have four legs but never walk   I may be covered in flowers but have no soil   I hold food three times a day but never eat a meal.   What am I?'
"
mississippi river,I am a river that flows through the mountains. I have sand and mud. What am I?,"I have five i's but cannot see  I have a mouth but cannot speack  I have a bed but do not sleep  What am I?""
"
quilt,I am a piece of wood. I have ten legs. What am I?,"I am made of scraps and rags, Yet when I am put together, I keep you warm in the winter. What am I?'
"
puppy,I am a dog that is able to move around. I have ten legs but no legs. What am I?,"I'm like a dog with the tail that wags and all but am not a dog. What am I?""
"
peanut,I am a fruit that is sliced and shaved. I can be thrown away and eaten. What am I?,"A structure with two occupants, sometimes one, rarely three.   Break the walls, eat the boarders, then throw away me.   What am I?'
"
A crane.,I am a bird that is spelled out in ten lines. What am I?,"It has a long neck, a name of a bird, feeds on ships' cargo, and is not alive.\xc2\xa0 What is it?""
"
I am your past.,"I am your past, but I'm not your present. What am I?","I am a stain in your memories, many times you question me. What am I?""
"
Cheese.,"I am a fruit that is sliced and sown. I can be thrown into ice, or tossed into the air. What am I?","Not born, but from a Mother's body drawn, I hang until half of me is gone. I sleep in a cave until I grow old, then valued for my hardened gold. What am I?""
"
crane,"I am a bird that is able to fly. I can fly but cannot fly, I have no legs. What am I?","I have a long neck,   I'm  named after a bird,   I Feed on cargo of ships  I'm  not alive    What am I ?""
"
minerals,I am a type of minerals. I can be found in many different places. What am I?,"I can be hard, I can be soft. I can scratch my fellow self, or I can be scratched. I'm not always as strong as another version of me. I can be used as a form or communication, as well as presents or luxury. Inside and outside the earth's crust I am made, and waiting times range from one day to millions of years. I come in many colors when I am solid, and I can also be grouped together to make another common solid. Controversy has been made about health concerns in which I am removed from the earth, from disease to sudden death.  While a certain few are mentioned above, I grow constantly under your feet.  Little do you know you always walk on me, even when you don't try.  Mountains, mines, I can be found anywhere, my rarity ranges from diamond to the most common pencil.  I am collected, sold, extracted everyday.  You use me so commonly that you may not realize I am what I am.  I have many different names, hundreds at least, but I am categorized under one name.  What am I?""
"
