starter,riddle,class
shadow,"I am the part of the bird that is not in the sky, who can drown in the ocean and yet remain dry. A last vestige of man that refuses to die. In mourning I am tossed at your feet to lie; I begin my job early, devouring your ankles and thighs. I work my way up, eating your legs to your waist. And though around midday away I am chased, I return quickly to savor the arm of my taste. As evening falls I enter your lungs, spiraling down past your mouth and your tongue. I feast on your body, your soul, and your mind, but as darkness falls you shall find that away I will go, a relief for some; At least until tomorrow morning comes. What am I?",what am i
ice,I'm the son of water but when I return to water. I die. Who am I?,who am i
ocean,"I am a shimmering field that reaches far, but I have no tracks, and I am crossed without paths. What am I?",what am i
crocodile,"Never trust this fellow’s grin. His teeth are sharp and course, his blood’s as cold as icicles, and he’ll show no remorse! What is it?",what is it
colour scheme,"My first can help a dresser match suits and ties.My second, through which a goal you realize.My whole, of a room, you may love or despise. What am I?",what am i
pancake,"I can flip as high as you want, And all the children beg for me. I am not good raw, And even worse when burnt. What am I?",what am i
cross,"On Calvary. There were three, not six. Its also known. As a crucifix. What am I?",what am i
brain,"I am a pinkish color, and have a roundish shape in you. I am very soft, and you should protect me, because I am very important, and you need me to live. All the other animals need me, but not plants. For their size, I was small in a dinosaur, and I am much larger in you. Now tell me, what am I?",what am i
grapes,"Crushed beneath trampling feet, kept in darkness and cold. I am useless if I have suffered not; but having suffered, my temper is sweet and strong to all those who partake. What am I, at start?",what am i
blue,I am seen in the water and in the sky. I am in the rainbow and a jay’s feather. What am I?,what am i
bear,"Naked with fur, I catch shoal in mid flight, Blindingly quick with true awesome might, I charge with both power and juggernaut force, Faster than man, woman or horse. What am I?",what am i
house,My body is usually made of brick or wood and I come with a lot of windows and doors. Keep me nice and clean for visitors and I will keep you warm and cozy. You can sell me when your family grows. What am I?,what am i
school,There is a house. A person enters this house blind but exits it seeing. What is it?,what is it
iceberg,It breaks away from its pack. It creates holes in its victims. It can travel for miles and then disappear. It is part of a dying breed. What is it?,what is it
Wedding ring,I'm made for one but meant for two;I can be worn for many years but usually just a few;You won't ever need me unless you say you do.What am I?,what am i
television,"I am black as night but can be filled with light. Through me things can be seen, although it is a screen. What am I?",what am i
temper,"You must keep this thing, its loss will affect your brothers. For once yours is lost, it will soon be lost by others. What is it?",what is it
candy cane,I come in many different colors but my main ones are red and white. I am shaped like a cane.  A lot of kids like to eat me. What am I?,what am i
seven,"I live above a star who never burns. I have 11 neighbors but they never turn. My initial are p, q, r, and sometimes s. What am I?",what am i
reflection,"I appear to be real but I'm not, I'm perfectly accurate but deceiving, I have no feelings or emotions, but the individual I'm mimicking does. What am I?",what am i
snowflakes,"Ne'er the same, In multitude you see me. You love me, you hate me, What am I?",what am i
night,"Friend to the thieving and deceptive, foe to the common child. A silent blanket draped throughout the air, covers but only half and leaves the other free and wild. Slowly does it creep amidst the expectant and unexpectant alike, bringing most beings and creatures to a stop, make no mistake. While there are some who dwell in its presence, others thrive in its wake. It is a force that can only be replicated on a smaller scale, a strength which can be challenged, but never fully beat. We have tried to since the beginning of time, but no man has ever accomplished the feat. What is it?",what is it
death,"I'm considered to be ""late"". I rid the world of many. Many fear my arrival, But others welcome me. What am I?",what am i
last name,"I am owned by every man, though my length differs. Their wives uses me after getting married. What am I?",what am i
fate,"Capable of Kindness and cruelty, I take victims when I sour. I can be on your side or wrong you. I bring gifts though you already have me. What am I?",what am i
glasses,"Without a bridle, or a saddle, across a thing I ride astraddle. And those I ride, by help of me, though almost blind, are made to see. What am I?",what am i
marshmallow,"I am not alive and yet I grow. Just put me next to where it grows. A favorite of the summertime, best with friends when combined. What am I?",what am i
ink,"I am in books, but not in papyrus; I am in dollar bills, but not in dimes; I am in octopuses, but not in fish; I am in ballpoint pens, but not in pencils. What am I?",what am i
glasses,"You Wear Me To See, You wear me To Read, If I'm Not There Will You Just Care?, I Bet You cant Even See Without Me                                                                                                                                                                                             What Am I?",what am i
broom,"I brush along silent as a mouse, I can help you clean your house. It doesn't matter if I am short or long, I will still just brush along. I have no head, and I have no hair .Dirt and dust beware!!  What am I?",what am i
flute,"I'm full of keys whenever I'm made.I came about wooden when the Renaissance played. Hundreds of years later, I was divided.And two new keys to me were provided. Then in 1760, and that's forty years later.Three keys were added by Florio, Gedney, and Potter. Around the 80's of the century mentioned.I was used by Mozart and Haydn. Over the years, new keys were gained.In the 1830's, Beethoven used me to entertain. Near the end of the 1800's, or the 19th century.I was used by Brahms, Strauss, and Tchaikovsky. Now, modern renditions are made of me.Without my holes, I wouldn't be. What am I?",what am i
